ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
3279,Powai Area,Mumbai,5 Spice,1100.0,4.2,500,"Chinese,Desserts",Powai Area,53.0
3324,Punjagutta,Hyderabad,Srikanya,250.0,4.1,1000,"Andhra,Seafood",Punjagutta Road,56.0
3326,Sion,Mumbai,Cafe Vrindavan,500.0,,100,"North Indian,Chinese,South Indian",Sion Station,42.0
3329,Mumbai,Mumbai,Ramdeo,450.0,4.0,500,"North Indian,Chinese,South Indian,Fast Food",Sion Station,44.0
3331,Mumbai,Mumbai,Shabari,400.0,3.9,100,"North Indian,South Indian,Fast Food",Sion West,48.0
3332,Rajajinagar,Bangalore,The Purple Pan,400.0,4.1,1000,"Mughlai,North Indian,Chinese,Arabian",Dr. Rajkumar Road,56.0
3350,Pulikeshi Nagar,Bangalore,Moriz Nano,500.0,2.9,80,"North Indian,Chinese,Biryani,Seafood",Lakeview,50.0
3369,Ashok Nagar,Bangalore,Truffles,450.0,4.5,1000,"American,Desserts,Continental,Italian",St. Marks Road,
3439,Golpark,Kolkata,The Grub Club,400.0,4.3,1000,"Italian,Chinese,Thai",Golpark,69.0
3454,Koramangala,Bangalore,Lazeez,500.0,4.2,500,"North Indian,Mughlai",5Th Block,55.0
3531,Shivajinagar,Pune,Marrakesh,300.0,4.0,100,"Lebanese,North Indian,Afghani,Mughlai,Combo,Biryani,Kebabs,Mediterranean,Arabian,Middle Eastern,Desserts",Fc Road,46.0
3549,Banjara Hills,Hyderabad,Keshav Reddy Sweets,150.0,4.2,500,$$$,Road No 2,65.0
3813,Gariahat,Kolkata,Kimli,600.0,4.4,100,"Chinese,Seafood",Purnadas Road,69.0
3830,Koregaon Park,Pune,Prem'S,1200.0,4.2,100,"North Indian,Chinese,Continental,Asian,Desserts,Beverages",Koregaon Park,53.0
3835,Deccan Gymkhana,Pune,The Chocolate Room,450.0,2.9,80,"Desserts,Continental,Fast Food",Fc Road,39.0
3855,Koregaon Park,Pune,Uncle'S Chinese,350.0,,1000,,Koregaon Park,55.0
3889,Jayanagar,Bangalore,House Of Kebab'S,500.0,,50,"North Indian,Chinese,Biryani",Rv Road,51.0
3914,Karkhana,Hyderabad,Oh So Stoned,300.0,3.9,100,Ice Cream  Desserts,Vikrampuri Colony,
4051,Kothrud,Pune,Zest Cafe Bar,,4.2,20,"Chinese,Fast Food",Ideal Chambers  Kothrud,57.0
4064,Koregaon Park,Pune,Seven - Shawarma And Burgers,250.0,3.9,100,"Lebanese,Fast Food,Snacks,Arabian",Koregaon Park,
4086,Kothrud,Pune,Rushhrs,250.0,4.3,100,"Salads,Healthy Food",Karishma Housing Society,46.0
4087,Erandwane,Pune,Aroma'S Hyderabad House - Karve Road,400.0,4.2,500,"Biryani,Mughlai,North Indian,Chinese",Karve Road,35.0
4138,Koti,Hyderabad,Grand Hotel,300.0,4.1,10000,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Abids Road,24.0
4188,Dilsukhnagar,Hyderabad,Tipsy Topsy,250.0,3.7,500,Chinese  Italian  Desserts  Bakery  Fast Food,Dilsukhnagar Main Road,39.0
4248,Nagole,Hyderabad,Hotel Swagath Grand - Dhanturi Group Of Hotels,300.0,3.9,1000,"Biryani,Chinese,South Indian,North Indian,Tandoor",Alkapuri X Roads,67.0
4252,Chandrapuri Colony,Hyderabad,Hotel Sitara Grand - Dhanturi Group Of Hotels,300.0,3.8,1000,"Biryani,Chinese,South Indian,North Indian,Tandoor",L B Nagar,70.0
4256,Kothapet,Hyderabad,Nakshatra Inn Multi Cuisine Restaurant,300.0,3.8,100,"Biryani,Chinese,North Indian,South Indian",Lakshmi Nagar Colony,52.0
4320,Narayanguda,Hyderabad,Mehfil,300.0,3.9,10000,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Narayanguda,
4338,Fc Road,Pune,The Burger Barn Cafe,300.0,4.1,100,"American,Fast Food",Ghole Road,46.0
4429,Park Street Area,Kolkata,Sip & Sandwich,300.0,2.9,80,Pastas  Beverages  Fast Food,Park Street,60.0
4430,Beniapukur,Kolkata,Shiraz Golden Restaurant,,4.4,1000,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",Park Street,52.0
4484,Park Street Area,Kolkata,Mocambo,1500.0,4.4,1000,"North Indian,Biryani,Continental,Italian",Park Street,62.0
4558,Bidhannagar,Kolkata,The Scoop,400.0,4.1,100,"North Indian,Chinese,South Indian,Fast Food",Sector 1,70.0
4565,Bidhannagar,Kolkata,Kaafila,1600.0,,50,"Mughlai,North Indian",Sector 1,71.0
4587,Bidhannagar,Kolkata,Ranjan'S,200.0,,100,"North Indian,Chinese",Sector 3,56.0
4599,Bidhannagar,Kolkata,Balle Balle Dhaba,500.0,,1000,"North Indian,Punjabi,Biryani",Sector 1,59.0
4600,Bidhannagar,Kolkata,Le Coffee Creme,600.0,3.9,50,"Combo,Chinese,Continental,Italian,Fast Food,Mexican",Sector 1,
4614,Himayatnagar,Hyderabad,Crystal Restaurant,350.0,3.9,1000,"Biryani,North Indian,Chinese",Rtc X Roads,34.0
4650,New Nallakunta,Hyderabad,Bawarchi,300.0,3.9,10000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Rtc X Roads,27.0
4739,Sivanchetti Gardens,Bangalore,The Grill House - Steaks & Sizzlers,1100.0,4.2,100,"American,Steakhouse,Italian,Mexican,Continental,Mediterranean,Desserts,Grill,Salads,Pastas,Pizzas,Lebanese",Kensington Point,52.0
4774,Adikmet,Hyderabad,Us Pizza,200.0,3.2,20,"Italian,Pizzas,Fast Food,Beverages,Desserts",O.U Road,48.0
4776,Amberpet,Hyderabad,Surabhi Grand,300.0,4.0,500,"Mughlai,North Indian,Chinese,Seafood",Tilaknagar,45.0
4781,Himayatnagar,Hyderabad,Bluedragon By Mandilicious,300.0,4.2,20,Chinese,Himayathnagar,
4783,Adikmet,Hyderabad,Frosty Den,200.0,2.2,20,"Ice Cream,Pizzas,Fast Food,Beverages,Desserts",O.U Road,43.0
4810,Banjara Hills,Hyderabad,Sitara Grand - Nizami Pakwaan,,3.6,100,"Biryani,Chinese,South Indian,North Indian,Tandoor",Road No 12,62.0
4841,Karve Nagar,Pune,Cheesiano Pizza,,3.9,100,"Italian,Pizzas,Fast Food",Karvenagar,52.0
